,Unnamed: 0,Day,Lecture,Room
0,0,Monday,0,C1
1,1,Monday,0,C2
2,2,Monday,0,C3
3,3,Monday,0,C4
4,4,Monday,0,C5
5,5,Monday,0,C1.1
6,6,Monday,0,C1.2
7,7,Monday,0,C1.3
8,8,Monday,0,C1.4
9,9,Monday,0,C2.2
10,10,Monday,0,C2.3
11,11,Monday,0,C2.4
12,12,Monday,0,C2.5
13,13,Monday,0,A1
14,14,Monday,0,A3
15,15,Monday,0,A1.1
16,16,Monday,0,A1.2
17,17,Monday,0,A1.3
18,18,Monday,0,A2.1
19,19,Monday,0,A2.2
20,20,Monday,0,A2.8
21,21,Monday,0,B1
22,22,Monday,0,B3
23,23,Monday,0,B4
24,24,Monday,0,B5
25,25,Monday,0,B6
26,26,Monday,0,B7
27,27,Monday,0,B8
28,28,Monday,0,B9
29,29,Monday,0,B10
30,30,Monday,0,B11
31,31,Monday,0,B12
32,32,Monday,0,B13
33,33,Monday,0,B14
34,34,Monday,0,W1
35,35,Monday,0,W2
36,36,Monday,0,W3
37,37,Monday,0,W4
38,38,Monday,0,Engineering Mechanics Lab
39,39,Monday,0,Engineering Drawing Hall
40,40,Monday,0,FYP Lab
41,41,Monday,0,Getechnical Engineering Lab
42,42,Monday,0,Fluid Mechanics Lab
43,43,Monday,0,Civil Engineering Materials Lab
44,44,Monday,0,C Lab1
45,45,Monday,0,C Lab2
46,46,Monday,0,C Lab3
47,47,Monday,0,C Lab4
48,48,Monday,0,C lab5
49,49,Monday,0,MS Lab
50,50,Monday,0,Cisco Lab
51,51,Monday,0,CAD CAM Lab
52,52,Monday,0,Bio Lab
53,53,Monday,0,FSN Lab
54,54,Monday,0,DRAWING HALL
55,55,Monday,0,Mechanics Lab
56,56,Monday,0,Thermo Lab
57,57,Monday,0,Electric Machines Lab
58,58,Monday,0,HMT Lab
59,59,Monday,0,Vibrations Lab
60,60,Monday,0,PhyLab
61,61,Monday,0,C&ELab
62,62,Monday,0,DigitalLab
63,63,Monday,0,PowerElectronicsLab
64,64,Monday,0,Seminar Room
65,65,Monday,0,DLD Lab
66,66,Monday,0,Survey Lab
67,67,Monday,1,C2
68,68,Monday,1,C4
69,69,Monday,1,C5
70,70,Monday,1,C2.3
71,71,Monday,1,C2.4
72,72,Monday,1,C2.5
73,73,Monday,1,A1.1
74,74,Monday,1,A1.3
75,75,Monday,1,A2.2
76,76,Monday,1,A2.8
77,77,Monday,1,B3
78,78,Monday,1,B6
79,79,Monday,1,B11
80,80,Monday,1,W1
81,81,Monday,1,W4
82,82,Monday,1,Engineering Mechanics Lab
83,83,Monday,1,Engineering Drawing Hall
84,84,Monday,1,FYP Lab
85,85,Monday,1,Getechnical Engineering Lab
86,86,Monday,1,Fluid Mechanics Lab
87,87,Monday,1,Civil Engineering Materials Lab
88,88,Monday,1,C Lab1
89,89,Monday,1,C Lab2
90,90,Monday,1,C lab5
91,91,Monday,1,CAD CAM Lab
92,92,Monday,1,DRAWING HALL
93,93,Monday,1,Mechanics Lab
94,94,Monday,1,Thermo Lab
95,95,Monday,1,Electric Machines Lab
96,96,Monday,1,HMT Lab
97,97,Monday,1,Vibrations Lab
98,98,Monday,1,PhyLab
99,99,Monday,1,C&ELab
100,100,Monday,1,PowerElectronicsLab
101,101,Monday,1,Survey Lab
134,134,Monday,2,C4
135,135,Monday,2,B10
136,136,Monday,2,B11
137,137,Monday,2,B12
138,138,Monday,2,W2
139,139,Monday,2,Engineering Mechanics Lab
140,140,Monday,2,Engineering Drawing Hall
141,141,Monday,2,FYP Lab
142,142,Monday,2,Getechnical Engineering Lab
143,143,Monday,2,Civil Engineering Materials Lab
144,144,Monday,2,Bio Lab
145,145,Monday,2,DRAWING HALL
146,146,Monday,2,Mechanics Lab
147,147,Monday,2,Thermo Lab
148,148,Monday,2,Electric Machines Lab
149,149,Monday,2,HMT Lab
150,150,Monday,2,Vibrations Lab
151,151,Monday,2,C&ELab
152,152,Monday,2,PowerElectronicsLab
153,153,Monday,2,Survey Lab
201,201,Monday,3,B4
202,202,Monday,3,Engineering Mechanics Lab
203,203,Monday,3,Engineering Drawing Hall
204,204,Monday,3,FYP Lab
205,205,Monday,3,Getechnical Engineering Lab
206,206,Monday,3,Civil Engineering Materials Lab
207,207,Monday,3,Cisco Lab
208,208,Monday,3,DRAWING HALL
209,209,Monday,3,Mechanics Lab
210,210,Monday,3,Thermo Lab
211,211,Monday,3,Electric Machines Lab
212,212,Monday,3,HMT Lab
213,213,Monday,3,Vibrations Lab
214,214,Monday,3,C&ELab
215,215,Monday,3,PowerElectronicsLab
216,216,Monday,3,Survey Lab
268,268,Monday,4,A2.8
269,269,Monday,4,B11
270,270,Monday,4,B12
271,271,Monday,4,W1
272,272,Monday,4,Engineering Mechanics Lab
273,273,Monday,4,Engineering Drawing Hall
274,274,Monday,4,Getechnical Engineering Lab
275,275,Monday,4,Fluid Mechanics Lab
276,276,Monday,4,Civil Engineering Materials Lab
277,277,Monday,4,MS Lab
278,278,Monday,4,CAD CAM Lab
279,279,Monday,4,DRAWING HALL
280,280,Monday,4,Thermo Lab
281,281,Monday,4,HMT Lab
282,282,Monday,4,Vibrations Lab
283,283,Monday,4,PhyLab
284,284,Monday,4,C&ELab
285,285,Monday,4,PowerElectronicsLab
335,335,Monday,5,W2
336,336,Monday,5,W3
337,337,Monday,5,W4
338,338,Monday,5,Engineering Mechanics Lab
339,339,Monday,5,Engineering Drawing Hall
340,340,Monday,5,Getechnical Engineering Lab
341,341,Monday,5,Fluid Mechanics Lab
342,342,Monday,5,Civil Engineering Materials Lab
343,343,Monday,5,C Lab3
344,344,Monday,5,DRAWING HALL
345,345,Monday,5,Thermo Lab
346,346,Monday,5,HMT Lab
347,347,Monday,5,Vibrations Lab
348,348,Monday,5,PhyLab
349,349,Monday,5,C&ELab
350,350,Monday,5,DigitalLab
351,351,Monday,5,PowerElectronicsLab
352,352,Monday,5,DLD Lab
402,402,Tuesday,0,C1
403,403,Tuesday,0,C2
404,404,Tuesday,0,C3
405,405,Tuesday,0,C4
406,406,Tuesday,0,C5
407,407,Tuesday,0,C1.1
408,408,Tuesday,0,C1.2
409,409,Tuesday,0,C1.3
410,410,Tuesday,0,C1.4
411,411,Tuesday,0,C2.2
412,412,Tuesday,0,C2.3
413,413,Tuesday,0,C2.4
414,414,Tuesday,0,C2.5
415,415,Tuesday,0,A1
416,416,Tuesday,0,A3
417,417,Tuesday,0,A1.1
418,418,Tuesday,0,A1.2
419,419,Tuesday,0,A1.3
420,420,Tuesday,0,A2.1
421,421,Tuesday,0,A2.2
422,422,Tuesday,0,A2.8
423,423,Tuesday,0,B1
424,424,Tuesday,0,B3
425,425,Tuesday,0,B4
426,426,Tuesday,0,B5
427,427,Tuesday,0,B6
428,428,Tuesday,0,B7
429,429,Tuesday,0,B8
430,430,Tuesday,0,B9
431,431,Tuesday,0,B10
432,432,Tuesday,0,B11
433,433,Tuesday,0,B12
434,434,Tuesday,0,B13
435,435,Tuesday,0,B14
436,436,Tuesday,0,W1
437,437,Tuesday,0,W2
438,438,Tuesday,0,W3
439,439,Tuesday,0,W4
440,440,Tuesday,0,Engineering Mechanics Lab
441,441,Tuesday,0,Engineering Drawing Hall
442,442,Tuesday,0,FYP Lab
443,443,Tuesday,0,Getechnical Engineering Lab
444,444,Tuesday,0,Fluid Mechanics Lab
445,445,Tuesday,0,Civil Engineering Materials Lab
446,446,Tuesday,0,C Lab1
447,447,Tuesday,0,C Lab2
448,448,Tuesday,0,C Lab3
449,449,Tuesday,0,C Lab4
450,450,Tuesday,0,C lab5
451,451,Tuesday,0,MS Lab
452,452,Tuesday,0,Cisco Lab
453,453,Tuesday,0,CAD CAM Lab
454,454,Tuesday,0,Bio Lab
455,455,Tuesday,0,FSN Lab
456,456,Tuesday,0,DRAWING HALL
457,457,Tuesday,0,Mechanics Lab
458,458,Tuesday,0,Thermo Lab
459,459,Tuesday,0,Electric Machines Lab
460,460,Tuesday,0,HMT Lab
461,461,Tuesday,0,Vibrations Lab
462,462,Tuesday,0,PhyLab
463,463,Tuesday,0,C&ELab
464,464,Tuesday,0,DigitalLab
465,465,Tuesday,0,PowerElectronicsLab
466,466,Tuesday,0,Seminar Room
467,467,Tuesday,0,DLD Lab
468,468,Tuesday,0,Survey Lab
469,469,Tuesday,1,Engineering Drawing Hall
470,470,Tuesday,1,FYP Lab
471,471,Tuesday,1,Getechnical Engineering Lab
472,472,Tuesday,1,Fluid Mechanics Lab
473,473,Tuesday,1,Civil Engineering Materials Lab
474,474,Tuesday,1,MS Lab
475,475,Tuesday,1,DRAWING HALL
476,476,Tuesday,1,Mechanics Lab
477,477,Tuesday,1,Thermo Lab
478,478,Tuesday,1,Electric Machines Lab
479,479,Tuesday,1,HMT Lab
480,480,Tuesday,1,Vibrations Lab
481,481,Tuesday,1,PhyLab
482,482,Tuesday,1,C&ELab
483,483,Tuesday,1,DigitalLab
484,484,Tuesday,1,PowerElectronicsLab
485,485,Tuesday,1,DLD Lab
486,486,Tuesday,1,Survey Lab
536,536,Tuesday,2,FYP Lab
537,537,Tuesday,2,Getechnical Engineering Lab
538,538,Tuesday,2,Fluid Mechanics Lab
539,539,Tuesday,2,Civil Engineering Materials Lab
540,540,Tuesday,2,DRAWING HALL
541,541,Tuesday,2,Mechanics Lab
542,542,Tuesday,2,Thermo Lab
543,543,Tuesday,2,Electric Machines Lab
544,544,Tuesday,2,HMT Lab
545,545,Tuesday,2,C&ELab
546,546,Tuesday,2,DigitalLab
547,547,Tuesday,2,PowerElectronicsLab
548,548,Tuesday,2,DLD Lab
549,549,Tuesday,2,Survey Lab
603,603,Tuesday,3,Engineering Mechanics Lab
604,604,Tuesday,3,FYP Lab
605,605,Tuesday,3,Getechnical Engineering Lab
606,606,Tuesday,3,Fluid Mechanics Lab
607,607,Tuesday,3,Civil Engineering Materials Lab
608,608,Tuesday,3,Bio Lab
609,609,Tuesday,3,DRAWING HALL
610,610,Tuesday,3,Mechanics Lab
611,611,Tuesday,3,Thermo Lab
612,612,Tuesday,3,Electric Machines Lab
613,613,Tuesday,3,HMT Lab
614,614,Tuesday,3,C&ELab
615,615,Tuesday,3,DigitalLab
616,616,Tuesday,3,PowerElectronicsLab
617,617,Tuesday,3,DLD Lab
618,618,Tuesday,3,Survey Lab
670,670,Tuesday,4,B7
671,671,Tuesday,4,B9
672,672,Tuesday,4,B10
673,673,Tuesday,4,W4
674,674,Tuesday,4,Engineering Mechanics Lab
675,675,Tuesday,4,FYP Lab
676,676,Tuesday,4,Fluid Mechanics Lab
677,677,Tuesday,4,Civil Engineering Materials Lab
678,678,Tuesday,4,DRAWING HALL
679,679,Tuesday,4,Mechanics Lab
680,680,Tuesday,4,Thermo Lab
681,681,Tuesday,4,Electric Machines Lab
682,682,Tuesday,4,HMT Lab
683,683,Tuesday,4,Vibrations Lab
684,684,Tuesday,4,C&ELab
685,685,Tuesday,4,DigitalLab
686,686,Tuesday,4,PowerElectronicsLab
687,687,Tuesday,4,Survey Lab
737,737,Tuesday,5,A1
738,738,Tuesday,5,A2.8
739,739,Tuesday,5,W3
740,740,Tuesday,5,Engineering Mechanics Lab
741,741,Tuesday,5,FYP Lab
742,742,Tuesday,5,Fluid Mechanics Lab
743,743,Tuesday,5,Civil Engineering Materials Lab
744,744,Tuesday,5,MS Lab
745,745,Tuesday,5,DRAWING HALL
746,746,Tuesday,5,Mechanics Lab
747,747,Tuesday,5,Thermo Lab
748,748,Tuesday,5,Electric Machines Lab
749,749,Tuesday,5,HMT Lab
750,750,Tuesday,5,Vibrations Lab
751,751,Tuesday,5,C&ELab
752,752,Tuesday,5,DigitalLab
753,753,Tuesday,5,PowerElectronicsLab
754,754,Tuesday,5,Survey Lab
804,804,Wednesday,0,C1
805,805,Wednesday,0,C2
806,806,Wednesday,0,C3
807,807,Wednesday,0,C4
808,808,Wednesday,0,C5
809,809,Wednesday,0,C1.1
810,810,Wednesday,0,C1.2
811,811,Wednesday,0,C1.3
812,812,Wednesday,0,C1.4
813,813,Wednesday,0,C2.2
814,814,Wednesday,0,C2.3
815,815,Wednesday,0,C2.4
816,816,Wednesday,0,C2.5
817,817,Wednesday,0,A1
818,818,Wednesday,0,A3
819,819,Wednesday,0,A1.1
820,820,Wednesday,0,A1.2
821,821,Wednesday,0,A1.3
822,822,Wednesday,0,A2.1
823,823,Wednesday,0,A2.2
824,824,Wednesday,0,A2.8
825,825,Wednesday,0,B1
826,826,Wednesday,0,B3
827,827,Wednesday,0,B4
828,828,Wednesday,0,B5
829,829,Wednesday,0,B6
830,830,Wednesday,0,B7
831,831,Wednesday,0,B8
832,832,Wednesday,0,B9
833,833,Wednesday,0,B10
834,834,Wednesday,0,B11
835,835,Wednesday,0,B12
836,836,Wednesday,0,B13
837,837,Wednesday,0,B14
838,838,Wednesday,0,W1
839,839,Wednesday,0,W2
840,840,Wednesday,0,W3
841,841,Wednesday,0,W4
842,842,Wednesday,0,Engineering Mechanics Lab
843,843,Wednesday,0,Engineering Drawing Hall
844,844,Wednesday,0,FYP Lab
845,845,Wednesday,0,Getechnical Engineering Lab
846,846,Wednesday,0,Fluid Mechanics Lab
847,847,Wednesday,0,Civil Engineering Materials Lab
848,848,Wednesday,0,C Lab1
849,849,Wednesday,0,C Lab2
850,850,Wednesday,0,C Lab3
851,851,Wednesday,0,C Lab4
852,852,Wednesday,0,C lab5
853,853,Wednesday,0,MS Lab
854,854,Wednesday,0,Cisco Lab
855,855,Wednesday,0,CAD CAM Lab
856,856,Wednesday,0,Bio Lab
857,857,Wednesday,0,FSN Lab
858,858,Wednesday,0,DRAWING HALL
859,859,Wednesday,0,Mechanics Lab
860,860,Wednesday,0,Thermo Lab
861,861,Wednesday,0,Electric Machines Lab
862,862,Wednesday,0,HMT Lab
863,863,Wednesday,0,Vibrations Lab
864,864,Wednesday,0,PhyLab
865,865,Wednesday,0,C&ELab
866,866,Wednesday,0,DigitalLab
867,867,Wednesday,0,PowerElectronicsLab
868,868,Wednesday,0,Seminar Room
869,869,Wednesday,0,DLD Lab
870,870,Wednesday,0,Survey Lab
871,871,Wednesday,1,B4
872,872,Wednesday,1,B11
873,873,Wednesday,1,Engineering Mechanics Lab
874,874,Wednesday,1,Engineering Drawing Hall
875,875,Wednesday,1,FYP Lab
876,876,Wednesday,1,Getechnical Engineering Lab
877,877,Wednesday,1,Fluid Mechanics Lab
878,878,Wednesday,1,DRAWING HALL
879,879,Wednesday,1,Mechanics Lab
880,880,Wednesday,1,Thermo Lab
881,881,Wednesday,1,Electric Machines Lab
882,882,Wednesday,1,HMT Lab
883,883,Wednesday,1,Vibrations Lab
884,884,Wednesday,1,C&ELab
885,885,Wednesday,1,DigitalLab
886,886,Wednesday,1,PowerElectronicsLab
887,887,Wednesday,1,Survey Lab
938,938,Wednesday,2,C2.5
939,939,Wednesday,2,Engineering Drawing Hall
940,940,Wednesday,2,FYP Lab
941,941,Wednesday,2,Getechnical Engineering Lab
942,942,Wednesday,2,Fluid Mechanics Lab
943,943,Wednesday,2,DRAWING HALL
944,944,Wednesday,2,Thermo Lab
945,945,Wednesday,2,Electric Machines Lab
946,946,Wednesday,2,HMT Lab
947,947,Wednesday,2,PowerElectronicsLab
948,948,Wednesday,2,Survey Lab
1005,1005,Wednesday,3,Engineering Drawing Hall
1006,1006,Wednesday,3,FYP Lab
1007,1007,Wednesday,3,Fluid Mechanics Lab
1008,1008,Wednesday,3,Civil Engineering Materials Lab
1009,1009,Wednesday,3,Bio Lab
1010,1010,Wednesday,3,DRAWING HALL
1011,1011,Wednesday,3,Mechanics Lab
1012,1012,Wednesday,3,Thermo Lab
1013,1013,Wednesday,3,Electric Machines Lab
1014,1014,Wednesday,3,HMT Lab
1015,1015,Wednesday,3,PhyLab
1016,1016,Wednesday,3,PowerElectronicsLab
1017,1017,Wednesday,3,Survey Lab
1072,1072,Wednesday,4,B12
1073,1073,Wednesday,4,Fluid Mechanics Lab
1074,1074,Wednesday,4,Civil Engineering Materials Lab
1075,1075,Wednesday,4,DRAWING HALL
1076,1076,Wednesday,4,Mechanics Lab
1077,1077,Wednesday,4,Thermo Lab
1078,1078,Wednesday,4,Electric Machines Lab
1079,1079,Wednesday,4,HMT Lab
1080,1080,Wednesday,4,Vibrations Lab
1081,1081,Wednesday,4,DigitalLab
1082,1082,Wednesday,4,PowerElectronicsLab
1083,1083,Wednesday,4,Survey Lab
1139,1139,Wednesday,5,A1.3
1140,1140,Wednesday,5,A2.8
1141,1141,Wednesday,5,B8
1142,1142,Wednesday,5,B13
1143,1143,Wednesday,5,B14
1144,1144,Wednesday,5,W4
1145,1145,Wednesday,5,Engineering Mechanics Lab
1146,1146,Wednesday,5,Getechnical Engineering Lab
1147,1147,Wednesday,5,Fluid Mechanics Lab
